"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
1,0.063,0,0.022,0.054,0.861
2,0.983,0,0,0.016,0.001
3,0.771,0,0,0.208,0.021
4,0.357,0,0,0.012,0.631
5,0.033,0,0,0.123,0.844
6,0.959,0,0,0,0.041
7,0.921,0,0.002,0.069,0.008
8,0.153,0,0,0,0.847
9,0.147,0,0,0.003,0.85
10,0.809,0,0,0.161,0.03
11,0.937,0,0,0,0.063
12,0.067,0,0,0,0.933
13,0.736,0,0,0.254,0.01
14,0.06,0,0.034,0.165,0.741
15,0.07,0,0,0.626,0.304
16,0.141,0,0,0,0.859
17,0.941,0,0,0.021,0.038
18,0.654,0,0.002,0.315,0.029
19,0.942,0,0,0,0.058
20,0.047,0,0,0,0.953
21,0.948,0,0,0,0.052
22,0.047,0,0,0,0.953
23,0.834,0,0.005,0.139,0.022
24,0.025,0,0.021,0.283,0.671
25,0.102,0.012,0.066,0.261,0.559
26,0.855,0,0,0.103,0.042
27,0.919,0,0,0.076,0.005
28,0.795,0,0,0.123,0.082
29,0.047,0,0,0,0.953
30,0.702,0,0,0.269,0.029
31,0.937,0,0,0,0.063
32,0.49,0,0,0.002,0.508
33,0.117,0,0,0.001,0.882
34,0.942,0,0,0,0.058
35,0.174,0,0,0.826,0
36,0.885,0,0.006,0.087,0.022
37,0.999,0,0,0.001,0
38,0.936,0,0,0,0.064
39,0.031,0,0,0,0.969
40,0.986,0,0,0.005,0.009
41,0.351,0,0,0.008,0.641
42,0.047,0,0,0,0.953
43,0.942,0,0,0,0.058
44,0.948,0,0,0,0.052
45,0.054,0.001,0.239,0.403,0.303
46,0.66,0,0,0.322,0.018
47,0.047,0,0,0,0.953
48,0.463,0,0,0.537,0
49,0.953,0,0,0.043,0.004
50,0.924,0,0.004,0,0.072
51,0.203,0,0.007,0.01,0.78
52,0.616,0,0,0.347,0.037
53,0.047,0,0,0,0.953
54,0.043,0,0,0,0.957
55,0.984,0,0,0.003,0.013
56,0.599,0,0,0.001,0.4
57,0.175,0,0,0.812,0.013
58,0.99,0,0,0.01,0
59,0.924,0,0,0,0.076
60,0.904,0,0,0.038,0.058
61,0.67,0,0.011,0.308,0.011
62,0,0,0,0,1
63,0,0,0.015,0.003,0.982
64,0.936,0,0,0,0.064
65,0.924,0,0,0,0.076
66,0.754,0,0,0,0.246
67,0.993,0,0,0.007,0
68,0.061,0,0,0,0.939
69,0.764,0,0,0.147,0.089
70,0.959,0,0,0,0.041
71,0.122,0,0,0,0.878
72,0.14,0,0,0.854,0.006
73,0.075,0.001,0.328,0.363,0.233
74,0.829,0,0,0.168,0.003
75,0.665,0,0,0.333,0.002
76,0.99,0,0,0,0.01
77,0.203,0,0.001,0.792,0.004
78,0.141,0,0,0,0.859
79,0.946,0,0,0.037,0.017
80,0.503,0,0.019,0.456,0.022
81,0.287,0,0,0.697,0.016
82,0.141,0,0,0,0.859
83,0.043,0,0,0,0.957
84,0.786,0,0,0.186,0.028
85,0.951,0,0,0,0.049
86,0.999,0,0,0,0.001
87,0.046,0,0.015,0.176,0.763
88,0.95,0,0,0.011,0.039
89,0.026,0,0,0,0.974
90,0.977,0,0,0.011,0.012
91,0.986,0,0,0.007,0.007
92,0.983,0,0,0.016,0.001
93,0.039,0,0,0,0.961
94,0.98,0,0,0.017,0.003
95,0.924,0,0,0,0.076
96,0.951,0,0,0,0.049
97,0.129,0,0,0,0.871
98,0.916,0,0,0.041,0.043
99,0.989,0,0,0.011,0
100,0.937,0,0,0,0.063
101,0.997,0,0,0,0.003
102,0.985,0,0,0.01,0.005
103,0.461,0,0,0.539,0
104,0.25,0,0,0.732,0.018
105,0.164,0,0.063,0.694,0.079
106,0.999,0,0,0.001,0
107,0.336,0,0,0,0.664
108,0.147,0,0.004,0.841,0.008
109,0.892,0,0.001,0.087,0.02
110,0.919,0,0,0.072,0.009
111,0.996,0,0,0,0.004
112,0.157,0,0,0,0.843
113,0.088,0,0.001,0,0.911
114,0.937,0,0,0,0.063
115,0.141,0,0,0,0.859
116,0.998,0,0,0.002,0
117,0.997,0,0,0.001,0.002
118,0.002,0,0,0,0.998
119,0.937,0,0,0,0.063
120,0.034,0,0,0,0.966
